model,experiment,min,Q1,median,mean,Q3,max
ACCESS1-0,historical,3,6,7,7.26,9,12
ACCESS1-0,rcp85,1,4,5,5.06,6.75,10
ACCESS1-3,historical,4,5,7,6.71,8,12
ACCESS1-3,rcp85,1,4,5,5.31,6,9
CCSM4,historical,5,7,9,9.16,11,16
CCSM4,rcp85,2,6,10.5,8.5,11,11
CNRM-CM5,historical,3,5,7,7.22,9,12
CNRM-CM5,rcp85,4,6,7,7.09,8,11
CSIRO-Mk3-6-0,historical,8,12,13,13.26,15,19
CSIRO-Mk3-6-0,rcp85,5,6.5,8,8.29,10,13
CanESM2,historical,5,9,10,10.65,12.75,18
CanESM2,rcp85,5,7,7,7.78,9.5,12
GFDL-ESM2G,historical,11,14.5,17,16.31,18.5,22
GFDL-ESM2G,rcp85,7,12,14,13.81,16,19
GFDL-ESM2M,historical,3,11,14.5,13.72,16.5,21
GFDL-ESM2M,rcp85,7,10,13,12.42,15,18
IBTrACS,observations,5,8,11,11.23,13,19
IPSL-CM5A-LR,historical,1,2,2,2.75,4,6
IPSL-CM5A-LR,rcp85,1,3,4,4.03,5,7
IPSL-CM5A-MR,historical,1,2,2,2.57,3,4
IPSL-CM5A-MR,rcp85,2,4,5,5.35,6.75,10
IPSL-CM5B-LR,historical,5,6.25,9,9.39,11,17
IPSL-CM5B-LR,rcp85,3,6,7,7.16,9,13
MIROC-ESM,historical,2,5.5,6.5,7.16,9.5,12
MIROC-ESM,rcp85,1,1,2,2.07,3,5
MIROC-ESM-CHEM,historical,1,5,6,6.25,8,11
MIROC-ESM-CHEM,rcp85,1,1,2,2.31,3,6
MIROC5,historical,11,14,15.5,14.97,16.5,20
MIROC5,rcp85,6,10,12,11.09,13,16
MRI-CGCM3,historical,12,16,17,17.32,19,23
MRI-CGCM3,rcp85,9,13,15,14.9,17,22
NorESM1-M,historical,3,6,8,8.03,10,13
NorESM1-M,rcp85,2,5,7,6.65,8.75,11
bcc-csm1-1,historical,1,11.5,13.5,14.34,18.5,24
bcc-csm1-1,rcp85,8,13,15.5,15.44,18.5,24
bcc-csm1-1-m,historical,5,13,17.5,17.09,21,26
bcc-csm1-1-m,rcp85,7,14,17,17,20,26
