model,experiment,min,Q1,median,mean,Q3,max
ACCESS1-0,historical,1,2,3,3.32,4,7
ACCESS1-0,rcp85,1,2,3,3.34,4,7
ACCESS1-3,historical,1,1.75,2,2.9,4,6
ACCESS1-3,rcp85,1,2.5,3,3.5,4,6
CCSM4,historical,2,3,3,3.55,4,5
CCSM4,rcp85,2,2,4,4,6,6
CNRM-CM5,historical,1,2.25,3,3.19,4,6
CNRM-CM5,rcp85,1,2,3,3.1,4,7
CSIRO-Mk3-6-0,historical,1,3,3,3.94,5,8
CSIRO-Mk3-6-0,rcp85,1,3.5,4,4.58,5.5,8
CanESM2,historical,1,2.25,3,3.29,4,6
CanESM2,rcp85,1,2,4,3.48,5,7
GFDL-ESM2G,historical,2,4,7,6.56,8,11
GFDL-ESM2G,rcp85,2,3,5,4.91,6.5,8
GFDL-ESM2M,historical,2,4.5,6,5.88,7,8
GFDL-ESM2M,rcp85,3,4,6,5.77,7,11
IBTrACS,observations,2,3,5,4.67,6,8
IPSL-CM5A-LR,historical,1,1,1,1.33,2,2
IPSL-CM5A-LR,rcp85,1,1,1,1.33,2,2
IPSL-CM5A-MR,historical,1,1,1,1.35,2,3
IPSL-CM5A-MR,rcp85,1,1,2,2,2.75,5
IPSL-CM5B-LR,historical,1,2,4,3.87,5,7
IPSL-CM5B-LR,rcp85,1,2,3,2.59,3,4
MIROC-ESM,historical,1,1,1,1.5,2,3
MIROC-ESM,rcp85,1,1,1,1,1,1
MIROC-ESM-CHEM,historical,1,1,1,1.5,2,3
MIROC-ESM-CHEM,rcp85,1,1,1.5,1.5,2,2
MIROC5,historical,3,5,6,5.84,7,9
MIROC5,rcp85,1,4,5,4.68,6,8
MRI-CGCM3,historical,2,4,6,5.94,7.75,10
MRI-CGCM3,rcp85,1,3,6,5.48,7,11
NorESM1-M,historical,2,3,5,4.63,6,7
NorESM1-M,rcp85,1,1.25,3,3.11,4.75,7
bcc-csm1-1,historical,1,4,6.5,6.78,9,16
bcc-csm1-1,rcp85,2,6,8,7.42,9,12
bcc-csm1-1-m,historical,3,4.5,7,6.81,8.5,12
bcc-csm1-1-m,rcp85,1,7,10,8.94,11,17
