model,experiment,min,Q1,median,mean,Q3,max
ACCESS1-0,historical,2,3,5,4.87,6,9
ACCESS1-0,rcp85,1,2,3,2.96,4,7
ACCESS1-3,historical,3,4,5,4.97,6,8
ACCESS1-3,rcp85,1,2,3,2.97,4,6
CCSM4,historical,1,5,7,6.81,9,11
CCSM4,rcp85,1,4.5,8.5,7,9.5,10
CNRM-CM5,historical,2,3.5,4.5,4.72,6,8
CNRM-CM5,rcp85,1,3.5,4.5,4.62,6,8
CSIRO-Mk3-6-0,historical,3,8,10,10.61,12.75,17
CSIRO-Mk3-6-0,rcp85,2,3,4,4.58,5,8
CanESM2,historical,3,6.25,8,8.1,10,13
CanESM2,rcp85,1,3,5,5.31,7,11
GFDL-ESM2G,historical,9,10.5,13,12.12,14,16
GFDL-ESM2G,rcp85,7,10,10,10.91,12,15
GFDL-ESM2M,historical,4,8,9,9.47,11.5,15
GFDL-ESM2M,rcp85,3,6,9,8.84,11,16
IBTrACS,observations,3,5,8,7.83,10,14
IPSL-CM5A-LR,historical,1,1,2,2.29,3,6
IPSL-CM5A-LR,rcp85,1,3,3,3.52,4.75,7
IPSL-CM5A-MR,historical,1,1.5,2,2.33,3,5
IPSL-CM5A-MR,rcp85,1,3,4,4.26,6,7
IPSL-CM5B-LR,historical,2,4,6,6.42,8.75,12
IPSL-CM5B-LR,rcp85,1,3.5,5,5.34,7,11
MIROC-ESM,historical,2,5,6,6.78,8.5,12
MIROC-ESM,rcp85,1,1,2,2.07,3,5
MIROC-ESM-CHEM,historical,3,5,6,6.03,7.5,10
MIROC-ESM-CHEM,rcp85,1,1,2,2.24,3,6
MIROC5,historical,5,9,11,11,13,19
MIROC5,rcp85,3,7,9,8.25,10,13
MRI-CGCM3,historical,7,11,13,13.03,15,20
MRI-CGCM3,rcp85,5,9,11,11,13,17
NorESM1-M,historical,2,4,5,5.77,7.75,11
NorESM1-M,rcp85,2,4,5,5.1,6.75,8
bcc-csm1-1,historical,2,7,9,9.1,11,15
bcc-csm1-1,rcp85,5,8,10,9.5,11,15
bcc-csm1-1-m,historical,7,10,11.5,12.16,14.5,20
bcc-csm1-1-m,rcp85,5,8,10.5,11.03,14,18
