model,experiment,min,Q1,median,mean,Q3,max
ACCESS1-0,historical,4,9,11,11.09,13,17
ACCESS1-0,rcp85,1,4,5.5,5.78,8,12
ACCESS1-3,historical,10,12.5,15,14.06,16,19
ACCESS1-3,rcp85,2,7,9,9.09,10.5,15
CCSM4,historical,3,6,7,7.23,9,13
CCSM4,rcp85,3,5,6,6.45,8,10
CNRM-CM5,historical,2,3,4,3.42,4,5
CNRM-CM5,rcp85,1,2.25,3,3.42,4,6
CSIRO-Mk3-6-0,historical,8,13.25,16,15.74,18,22
CSIRO-Mk3-6-0,rcp85,3,6.5,9,8.44,10,14
GFDL-CM3,historical,6,8,10,9.5,11,14
GFDL-CM3,rcp85,3,5,7,6.84,8,11
GFDL-ESM2G,historical,6,10.5,11,11.62,14,17
GFDL-ESM2G,rcp85,3,8,10,10.19,12.5,16
GFDL-ESM2M,historical,7,9,10.5,10.28,12,15
GFDL-ESM2M,rcp85,3,7.25,10,9.48,11,16
HadGEM2-ES,historical,8,11,14,14.35,17,22
HadGEM2-ES,rcp85,1,5,6,6.59,8,12
IBTrACS,observations,5,8,11,11.23,13,19
MIROC5,historical,12,16,18,17.84,19.5,24
MIROC5,rcp85,6,12,15,14.19,17.5,21
MRI-CGCM3,historical,11,14,15.5,15.72,17,20
MRI-CGCM3,rcp85,9,11.5,13,13.06,16,20
bcc-csm1-1,historical,1,4,5,4.77,6,8
bcc-csm1-1,rcp85,1,3,4,4.52,6,8
bcc-csm1-1-m,historical,2,6,9,7.97,10,13
bcc-csm1-1-m,rcp85,3,6,8,7.74,9,13
