model,experiment,min,Q1,median,mean,Q3,max
ACCESS1-0,historical,1,3,6,5.16,6.5,9
ACCESS1-0,rcp85,1,2,3,3.56,5,7
ACCESS1-3,historical,2,5,6,5.97,7,10
ACCESS1-3,rcp85,2,3.5,5,5.28,7,9
CCSM4,historical,1,2,2,2.52,3,4
CCSM4,rcp85,1,1.5,2,2.5,3,5
CNRM-CM5,historical,1,1,2,1.7,2,3
CNRM-CM5,rcp85,1,1,1,1.59,2,3
CSIRO-Mk3-6-0,historical,1,2,4,4.17,6,9
CSIRO-Mk3-6-0,rcp85,1,3,4,4.12,5,8
GFDL-CM3,historical,1,2,3,3.03,4,7
GFDL-CM3,rcp85,1,2,3,2.83,3,4
GFDL-ESM2G,historical,1,1.25,3,2.74,3.75,7
GFDL-ESM2G,rcp85,1,1,2,2.04,3,4
GFDL-ESM2M,historical,1,2,3,3.2,4,7
GFDL-ESM2M,rcp85,1,2,3,3.39,4,7
HadGEM2-ES,historical,2,3,5,5.2,7,11
HadGEM2-ES,rcp85,1,2.5,4,3.81,5,8
IBTrACS,observations,2,3,5,4.67,6,8
MIROC5,historical,5,5.5,7,7,8,11
MIROC5,rcp85,3,4,5,5.42,7,10
MRI-CGCM3,historical,2,3,5,5.23,7,10
MRI-CGCM3,rcp85,1,3,4,4.53,6,9
bcc-csm1-1,historical,1,2,2,2.63,3,4
bcc-csm1-1,rcp85,1,1,2,2.17,3,4
bcc-csm1-1-m,historical,1,2,2.5,2.79,4,5
bcc-csm1-1-m,rcp85,1,2,3,3.07,4,6
